,Anime Title,Type,Score_reference2,Episodes,Aired,Producers,Studios,Source,Genres,Score,Members,Favorites,Fav%,Source_reference,genre_reference_1,genre_reference_2,Season
0,Fullmetal Alchemist: Brotherhood,TV,Good,64,"Apr 5, 2009 to Jul 4, 2010","Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken",Bones,Manga,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",9.22,2025613,167812,8.285,0,1,2,2
1,Steins;Gate,TV,Good,24,"Apr 6, 2011 to Sep 14, 2011","Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",White Fox,Visual novel,"Thriller, Sci-Fi",9.12,1636151,139909,8.551,1,9,10,2
2,Gintama°,TV,Good,51,"Apr 8, 2015 to Mar 30, 2016","TV Tokyo, Aniplex, Dentsu",Bandai Namco Pictures,Manga,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",9.11,363879,10353,2.845,0,1,4,2
3,Hunter x Hunter (2011),TV,Good,148,"Oct 2, 2011 to Sep 24, 2014","VAP, Nippon Television Network, Shueisha",Madhouse,Manga,"Action, Adventure, Fantasy, Shounen, Super Power",9.11,1459320,130492,8.942,0,1,3,4
5,Gintama',TV,Good,51,"Apr 4, 2011 to Mar 26, 2012","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha",Sunrise,Manga,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",9.08,337198,6013,1.783,0,1,10,2
6,Shingeki no Kyojin Season 3 Part 2,TV,Good,10,"Apr 29, 2019 to Jul 1, 2019","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Wit Studio,Manga,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",9.07,815370,28479,3.493,0,1,2,2
7,Gintama': Enchousen,TV,Good,13,"Oct 4, 2012 to Mar 28, 2013","TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus",Sunrise,Manga,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",9.04,204816,2302,1.124,0,1,4,4
8,3-gatsu no Lion 2nd Season,TV,Good,22,"Oct 14, 2017 to Mar 31, 2018","Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace, Toy's Factory",Shaft,Manga,"Drama, Game, Seinen, Slice of Life",9.02,238010,9854,4.14,0,5,16,4
11,Gintama.,TV,Good,12,"Jan 9, 2017 to Mar 27, 2017","TV Tokyo, Aniplex, Dentsu, Shueisha",Bandai Namco Pictures,Manga,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",8.98,182142,2096,1.151,0,1,4,1
12,Gintama,TV,Good,201,"Apr 4, 2006 to Mar 25, 2010","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha",Sunrise,Manga,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",8.97,700209,45488,6.496,0,1,4,2
14,Clannad: After Story,TV,Good,24,"Oct 3, 2008 to Mar 27, 2009","Pony Canyon, TBS, Rakuonsha, Animation Do",Kyoto Animation,Visual novel,"Slice of Life, Comedy, Supernatural, Drama, Romance",8.96,859664,59603,6.933,1,18,4,4
15,Owarimonogatari 2nd Season,TV,Good,7,"Aug 12, 2017 to Aug 13, 2017","Aniplex, Kodansha",Shaft,Light novel,"Mystery, Comedy, Supernatural, Vampire",8.93,249949,5598,2.24,1,15,4,3
16,Code Geass: Hangyaku no Lelouch R2,TV,Good,25,"Apr 6, 2008 to Sep 28, 2008","Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners",Sunrise,Original,"Action, Military, Sci-Fi, Super Power, Drama, Mecha",8.91,1179120,60567,5.137,5,1,2,2
17,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,Good,10,"Oct 8, 2016 to Dec 10, 2016","TOHO animation, Shueisha",Production I.G,Manga,"Comedy, Sports, Drama, School, Shounen",8.9,616770,11288,1.83,0,4,23,4
18,Mob Psycho 100 II,TV,Good,13,"Jan 7, 2019 to Apr 1, 2019","Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan",Bones,Web manga,"Action, Slice of Life, Comedy, Supernatural",8.86,716685,17847,2.49,0,1,18,1
19,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,Good,14,"Jul 9, 2018 to Oct 8, 2018","TV Tokyo, Aniplex, Dentsu, Shueisha",Bandai Namco Pictures,Manga,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",8.85,100120,763,0.762,0,1,10,3
22,Gintama.: Shirogane no Tamashii-hen,TV,Good,12,"Jan 8, 2018 to Mar 26, 2018","TV Tokyo, Aniplex, Dentsu, Shueisha",Bandai Namco Pictures,Manga,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",8.8,113379,891,0.786,0,1,10,1
23,Cowboy Bebop,TV,Good,26,"Apr 3, 1998 to Apr 24, 1999",Bandai Visual,Sunrise,Original,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",8.79,1144863,57709,5.041,5,1,3,2
24,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,TV,Good,12,"Apr 11, 2020 to Jun 27, 2020","Aniplex, Mainichi Broadcasting System, Shueisha, JR East Marketing & Communications",A-1 Pictures,Manga,"Comedy, Psychological, Romance, School, Seinen",8.79,513902,11964,2.328,0,4,26,2
25,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,Good,12,"Jan 7, 2017 to Mar 25, 2017","Mainichi Broadcasting System, Kodansha, DAX Production, King Records",Studio Deen,Manga,"Drama, Historical, Josei",8.79,130750,2460,1.881,0,5,11,1
27,Monogatari Series: Second Season,TV,Good,26,"Jul 7, 2013 to Dec 29, 2013","Aniplex, Kodansha, Cyclone Graphics",Shaft,Light novel,"Mystery, Comedy, Supernatural, Romance, Vampire",8.78,476697,18388,3.857,1,15,4,3
28,Haikyuu!! Second Season,TV,Good,25,"Oct 4, 2015 to Mar 27, 2016","TOHO animation, Shueisha",Production I.G,Manga,"Comedy, Sports, Drama, School, Shounen",8.77,743041,12594,1.695,0,4,23,4
29,Mushishi Zoku Shou 2nd Season,TV,Good,10,"Oct 19, 2014 to Dec 21, 2014","Aniplex, Kodansha, Delfi Sound",Artland,Manga,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",8.77,186202,1132,0.608,0,3,7,4
30,Shigatsu wa Kimi no Uso,TV,Good,22,"Oct 10, 2014 to Mar 20, 2015","Aniplex, Dentsu, Kodansha, Fuji TV, Kyoraku Industrial Holdings",A-1 Pictures,Manga,"Drama, Music, Romance, School, Shounen",8.77,1293935,64581,4.991,0,5,28,4
31,Made in Abyss,TV,Good,13,"Jul 7, 2017 to Sep 29, 2017","Media Factory, AT-X, Takeshobo, Sony Music Communications, Kadokawa Media House, Cygames, Kanetsu Investment, Global Solutions",Kinema Citrus,Web manga,"Sci-Fi, Adventure, Mystery, Drama, Fantasy",8.76,780448,27830,3.566,0,10,3,3
33,Hajime no Ippo,TV,Good,75,"Oct 4, 2000 to Mar 27, 2002",VAP,Madhouse,Manga,"Comedy, Sports, Drama, Shounen",8.75,359850,14900,4.141,0,4,23,4
34,Monster,TV,Good,74,"Apr 7, 2004 to Sep 28, 2005","VAP, Shogakukan-Shueisha Productions, Nippon Television Network",Madhouse,Manga,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",8.74,559125,26828,4.798,0,5,29,2
36,Mushishi Zoku Shou,TV,Good,10,"Apr 5, 2014 to Jun 21, 2014","Aniplex, Kodansha, Delfi Sound",Artland,Manga,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",8.73,214602,1320,0.615,0,3,18,2
38,Vinland Saga,TV,Good,24,"Jul 8, 2019 to Dec 30, 2019","Production I.G, Dentsu, Kodansha, Twin Engine",Wit Studio,Manga,"Action, Adventure, Drama, Historical, Seinen",8.72,554067,13540,2.444,0,1,3,3
39,Code Geass: Hangyaku no Lelouch,TV,Good,25,"Oct 6, 2006 to Jul 29, 2007","Bandai Visual, Mainichi Broadcasting System, Bandai, Sony Music Entertainment, Bandai Namco Entertainment, Hakuhodo DY Media Partners",Sunrise,Original,"Action, Military, Sci-Fi, Super Power, Drama, Mecha, School",8.72,1469016,85676,5.832,5,1,2,4
42,Great Teacher Onizuka,TV,Good,43,"Jun 30, 1999 to Sep 17, 2000","Aniplex, Fuji TV",Studio Pierrot,Manga,"Slice of Life, Comedy, Drama, School, Shounen",8.7,547758,19656,3.588,0,18,4,2
43,Mushishi,TV,Good,26,"Oct 23, 2005 to Jun 19, 2006","Avex Entertainment, Marvelous, SKY Perfect Well Think, Delfi Sound",Artland,Manga,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",8.7,582550,22162,3.804,0,3,18,4
44,Hajime no Ippo: New Challenger,TV,Good,26,"Jan 7, 2009 to Jul 1, 2009","VAP, Kodansha, Nippon Television Network",Madhouse,Manga,"Comedy, Sports, Drama, Shounen",8.68,190465,1530,0.803,0,4,23,1
45,Natsume Yuujinchou Shi,TV,Good,13,"Jan 3, 2012 to Mar 27, 2012","TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha, Sony Music Entertainment",Brain's Base,Manga,"Slice of Life, Demons, Supernatural, Drama, Shoujo",8.68,184170,1732,0.94,0,18,31,1
46,Ashita no Joe 2,TV,Good,47,"Oct 13, 1980 to Aug 31, 1981",Annapuru,Tokyo Movie Shinsha,Manga,"Action, Drama, Shounen, Slice of Life, Sports",8.67,27489,1413,5.14,0,1,5,4
48,Kimetsu no Yaiba,TV,Good,26,"Apr 6, 2019 to Sep 28, 2019","Aniplex, Shueisha",ufotable,Manga,"Action, Demons, Historical, Shounen, Supernatural",8.67,1145296,40835,3.565,0,1,31,2
49,Tengen Toppa Gurren Lagann,TV,Good,27,"Apr 1, 2007 to Sep 30, 2007","TV Tokyo, Aniplex, Dentsu, Konami, Half H.P Studio, Bandai",Gainax,Original,"Action, Adventure, Comedy, Mecha, Sci-Fi",8.67,1145326,65276,5.699,5,1,3,2
52,Natsume Yuujinchou Roku,TV,Good,11,"Apr 12, 2017 to Jun 21, 2017","TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha",Shuka,Manga,"Slice of Life, Demons, Supernatural, Drama, Shoujo",8.66,126415,886,0.701,0,18,31,2
53,Yakusoku no Neverland,TV,Good,12,"Jan 10, 2019 to Mar 29, 2019","Aniplex, Dentsu, A-1 Pictures, Fuji TV, Shueisha, CA-Cygames Anime Fund",CloverWorks,Manga,"Sci-Fi, Mystery, Horror, Psychological, Thriller, Shounen",8.65,880722,24339,2.764,0,10,15,1
55,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV,Good,39,"Oct 6, 2018 to Jul 28, 2019","Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shueisha",David Production,Manga,"Action, Adventure, Shounen",8.63,454375,17680,3.891,0,1,3,4
56,Ping Pong the Animation,TV,Good,11,"Apr 11, 2014 to Jun 20, 2014","Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings, Science SARU",Tatsunoko Production,Manga,"Drama, Psychological, Seinen, Sports",8.63,245258,10880,4.436,0,5,26,2
57,Violet Evergarden,TV,Good,13,"Jan 11, 2018 to Apr 5, 2018","Lantis, Pony Canyon, Rakuonsha, ABC Animation",Kyoto Animation,Light novel,"Slice of Life, Drama, Fantasy",8.63,909135,29329,3.226,1,18,5,1
58,Death Note,TV,Good,37,"Oct 4, 2006 to Jun 27, 2007","VAP, Konami, Ashi Production, Nippon Television Network, Shueisha",Madhouse,Manga,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen",8.62,2331023,130420,5.595,0,15,30,4
60,Yojouhan Shinwa Taikei,TV,Good,11,"Apr 23, 2010 to Jul 2, 2010","Dentsu, Kadokawa Shoten, Fuji TV, Toho, Asmik Ace, Tohokushinsha Film Corporation, Sony Music Entertainment, Fujipacific Music",Madhouse,Novel,"Mystery, Comedy, Psychological, Romance",8.61,286724,13627,4.753,0,15,4,2
61,One Punch Man,TV,Good,12,"Oct 5, 2015 to Dec 21, 2015","TV Tokyo, Bandai Visual, Lantis, Asatsu DK, Banpresto, Good Smile Company, Shueisha, JR East Marketing & Communications",Madhouse,Web manga,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural",8.6,1911640,50667,2.65,0,1,10,4
