,Anime Title,Score_reference,Score_reference2,Type,Episodes,Aired,Producers,Studios,Source,Genres,Score,Members,Favorites,Fav%,Source_reference,genre_reference_1,genre_reference_2,Season,Manga_score,Age
0,Fullmetal Alchemist: Brotherhood,High,Good,TV,64,"Apr 5, 2009 to Jul 4, 2010","Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken",Bones,Manga,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",9.22,2025613,167812,8.285,0,1,2,2,9.04,11
2,Gintama°,High,Good,TV,51,"Apr 8, 2015 to Mar 30, 2016","TV Tokyo, Aniplex, Dentsu",Bandai Namco Pictures,Manga,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",9.11,363879,10353,2.845,0,1,4,2,8.62,5
3,Hunter x Hunter (2011),High,Good,TV,148,"Oct 2, 2011 to Sep 24, 2014","VAP, Nippon Television Network, Shueisha",Madhouse,Manga,"Action, Adventure, Fantasy, Shounen, Super Power",9.11,1459320,130492,8.942,0,1,3,4,8.72,9
5,Gintama',High,Good,TV,51,"Apr 4, 2011 to Mar 26, 2012","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha",Sunrise,Manga,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",9.08,337198,6013,1.783,0,1,10,2,8.62,9
6,Shingeki no Kyojin Season 3 Part 2,High,Good,TV,10,"Apr 29, 2019 to Jul 1, 2019","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Wit Studio,Manga,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",9.07,815370,28479,3.493,0,1,2,2,6.78,1
7,Gintama': Enchousen,High,Good,TV,13,"Oct 4, 2012 to Mar 28, 2013","TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus",Sunrise,Manga,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",9.04,204816,2302,1.124,0,1,4,4,8.62,8
8,3-gatsu no Lion 2nd Season,High,Good,TV,22,"Oct 14, 2017 to Mar 31, 2018","Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace, Toy's Factory",Shaft,Manga,"Drama, Game, Seinen, Slice of Life",9.02,238010,9854,4.14,0,5,16,4,6.97,3
11,Gintama.,High,Good,TV,12,"Jan 9, 2017 to Mar 27, 2017","TV Tokyo, Aniplex, Dentsu, Shueisha",Bandai Namco Pictures,Manga,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",8.98,182142,2096,1.151,0,1,4,1,8.62,3
12,Gintama,High,Good,TV,201,"Apr 4, 2006 to Mar 25, 2010","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha",Sunrise,Manga,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",8.97,700209,45488,6.496,0,1,4,2,8.62,14
17,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,High,Good,TV,10,"Oct 8, 2016 to Dec 10, 2016","TOHO animation, Shueisha",Production I.G,Manga,"Comedy, Sports, Drama, School, Shounen",8.9,616770,11288,1.83,0,4,23,4,6.97,4
